Primer Autor	Año Publicación	Tipo Producto	Journal	
Fly, Alyce	2017	JOUR	Journal of Nutrition Education and Behavior	
Czakon, Wojciech	2023	JOUR	Industrial Marketing Management	
Johnson Restrepo, D. Dylan	2020	JOUR	Journal of Computational Science	
Lowalekar, Harshal	2017	JOUR	International Journal of Production Economics	
Bago, Bence	2018	JOUR	Neuropsychologia	
Fradkin, Isaac	2023	JOUR	Biological Psychiatry	
Browning, Jacob	2023	JOUR	Artificial Intelligence	
Lamb, Richard L.	2014	JOUR	Computers & Education	
Aziz, Remon Fayek	2013	JOUR	Alexandria Engineering Journal	
Majzoub, Omar	2023	JOUR	Frontiers of Architectural Research	
Lu, Wen-Yen	2023	JOUR	Computers and Education: Artificial Intelligence	
Zhang, Kunbei	2015	JOUR	Computer Law & Security Review	
Fleming, Stephen M.	2024	JOUR	Trends in Cognitive Sciences	
Kavga, Angeliki	2023	JOUR	Simulation Modelling Practice and Theory	
De Neys, Wim	2008	JOUR	Cognition	
Weber, Friederike	2014	JOUR	Journal of Anxiety Disorders	
Rajput, Amarjitsing	2023	JOUR	OpenNano	
Turner, Pat	2018	JOUR	IFAC-PapersOnLine	
Preisig, Heinz A.	2012	CHAP	No encontrado	
qFiasco, Flash	2018	JOUR	Artificial Intelligence	
Bourgeade, Adrien	2023	JOUR	Control Engineering Practice	
Regier, Dean A.	2019	JOUR	Journal of Economic Behavior & Organization	
West, Geoffrey B	2012	JOUR	The Lancet	
Nedyalkova, Miroslava	2024	JOUR	Digital Discovery	
De Luca, Gabriele	2021	JOUR	Technology in Society	
Yoshida, Kensuke	2023	JOUR	Current Opinion in Neurobiology	
Hartson, Rex	2012	CHAP	No encontrado	
Tushar, Wayes	2020	JOUR	Energy	
Summerer, L.	2014	JOUR	Acta Astronautica	
Champagne, Marc	2019	JOUR	Studies in History and Philosophy of Science Part A	
Awad, Edmond	2022	JOUR	Trends in Cognitive Sciences	
Vatutin, Alexander	2021	JOUR	Procedia Computer Science	
de Nobel, Jacob	2024	JOUR	Hearing Research	
Dumas, Denis	2018	JOUR	Contemporary Educational Psychology	
Chopard, Bastien	2024	JOUR	Journal of Computational Science	
Khalil, Radwa	2022	JOUR	Neuroscience & Biobehavioral Reviews	
Chen, Janice	2024	JOUR	Trends in Cognitive Sciences	
Wolfengagen, Viacheslav E.	2024	JOUR	Cognitive Systems Research	
Flach, John	2017	JOUR	Applied Ergonomics	
Roese, Neal J.	2017	CHAP	No encontrado	
Bayaga, Anass	2024	JOUR	Computers in Human Behavior Reports	
Hao, Jia	2017	JOUR	Advanced Engineering Informatics	
Carney, Timothy Jay	2014	JOUR	Journal of Biomedical Informatics	
Hemmo, Meir	2023	JOUR	Studies in History and Philosophy of Science	
Hemery, Mathieu	2024	JOUR	Theoretical Computer Science	
Na, Soojung	2022	JOUR	Schizophrenia Research	
Hales, C.A.	2023	JOUR	Neuroscience & Biobehavioral Reviews	
Pagani, Margherita	2009	JOUR	Technological Forecasting and Social Change	
Fish, Jacob	2024	CHAP	No encontrado	
Dell'Aversana, Paolo	2013	CHAP	No encontrado	
He, Rui	2024	JOUR	Psychiatry Research	
Tiejun, Zhu	2021	JOUR	Technological Forecasting and Social Change	
Soriano, S.G.	2017	JOUR	British Journal of Anaesthesia	
Karunathilake, Hirushie	2019	JOUR	Energy and Buildings	
Saleem, Sumayya	2024	JOUR	Telematics and Informatics Reports	
Şahin, Derya	2024	CHAP	No encontrado	
Melo, Marcelo C.R.	2023	JOUR	Biophysical Journal	
Miao, Luwei	2024	JOUR	Desalination	
Cristianini, Nello	2016	JOUR	New Scientist	
Arastoopour Irgens, Golnaz	2022	JOUR	International Journal of Child-Computer Interaction	
de Carvalho, Leonardo Lana	2021	JOUR	Cognitive Systems Research	
Yan, Jason	2024	JOUR	Children and Youth Services Review	
DeWoskin, Robert S.	2024	CHAP	No encontrado	
Eppe, Manfred	2018	JOUR	Artificial Intelligence	
Bonhage, Corinna	2016	JOUR	NeuroImage	
Ackerman, Rakefet	2017	JOUR	Trends in Cognitive Sciences	
Raab, Markus	2021	CHAP	No encontrado	
Shariati, S.	2016	JOUR	IFAC-PapersOnLine	
Krasich, Kristina	2024	JOUR	Cognition	
Chen, Chong	2022	JOUR	Journal of Psychiatric Research	
David, Preetha Evangeline	2024	CHAP	No encontrado	
Schachter, J.A.	2016	JOUR	Renewable and Sustainable Energy Reviews	
De Giorgi, Enrico	2008	JOUR	Games and Economic Behavior	
Altun, Sevgi	2024	JOUR	Digital Applications in Archaeology and Cultural Heritage	
Favero, Matteo	2024	JOUR	Building and Environment	
Meinke, Holger	2019	CHAP	No encontrado	
Otani, Tomohiro	2024	JOUR	Medical Engineering & Physics	
Kaspersen, Magnus Høholt	2022	JOUR	International Journal of Child-Computer Interaction	
Goñi, Julian “Iñaki”	2024	JOUR	Futures	
Giannantoni, Corrado	2014	JOUR	Ecological Modelling	
Oprisan, Sorinel A.	2022	JOUR	Journal of Computational Science	
Funk, Jeffrey L.	2015	JOUR	Futures	
Mammino, Liliana	2023	JOUR	Sustainable Chemistry and Pharmacy	
Lockwood, Elise	2021	JOUR	The Journal of Mathematical Behavior	
Cimpian, Andrei	2012	JOUR	Cognitive Psychology	
Aish, Robert	2017	JOUR	Design Studies	
Hall, Anna F.	2024	JOUR	Trends in Cognitive Sciences	
Anane, Walid	2023	JOUR	Automation in Construction	
Dubljević, Sanja	2023	JOUR	Energy and Buildings	
Ribeiro, Luis	2011	JOUR	Computers in Industry	
Checiu, Denisa	2024	JOUR	Neurocomputing	
Ullah, Inam	2024	JOUR	Computers in Human Behavior	
Harry, Stefan Andrew	2022	JOUR	The Journal of Organic Chemistry	
Mathias, Brian	2023	JOUR	Trends in Cognitive Sciences	
Koster-Hale, Jorie	2014	JOUR	Cognition	
Dasgupta, Subrata	2020	CHAP	No encontrado	
Anane, Walid	2022	JOUR	Procedia Computer Science	
Hemmo, Meir	2019	JOUR	Studies in History and Philosophy of Science Part B: Studies in History and Philosophy of Modern Physics	
Duankhan, Poomin	2024	JOUR	Expert Systems with Applications	
Feng, Junjie	2024	JOUR	Renewable Energy	
Ismailova, Larisa	2022	JOUR	Cognitive Systems Research	
Wu, Yu-Chou	2011	JOUR	Energy and Buildings	
Konstantinidou, Evi	2022	JOUR	Computers & Education	
Bianciardi, Alessandro	2017	JOUR	Bioinspired, Biomimetic and Nanobiomaterials	
Fletcher, David F.	2022	JOUR	Chemical Engineering Research and Design	
Meng, Charlotte C.	2023	JOUR	Journal of Urban Economics	
Govindan, Rajesh	2019	JOUR	Renewable and Sustainable Energy Reviews	
Moingeon, Philippe	2022	JOUR	Drug Discovery Today	
Kellogg, Glen E.	2023	JOUR	SLAS Discovery	
Bucciarelli, Monica	2022	JOUR	International Journal of Child-Computer Interaction	
Ying, Shun	2024	JOUR	Heliyon	
Ingrao, Carlo	2018	JOUR	Journal of Cleaner Production	
Mannodi-Kanakkithodi, Arun	2021	JOUR	Trends in Chemistry	
Poeppel, David	2022	JOUR	Trends in Cognitive Sciences	
Liu, Hongyan	2023	JOUR	Displays	
Davis, Isaac	2023	JOUR	Cognition	
Chang, Ray M.	2014	JOUR	Decision Support Systems	
Zhang, X.	2022	JOUR	Computational Materials Science	
Berger, Bonnie	2022	JOUR	Cell Systems	
Kao, Chang-Hao	2023	JOUR	Neuroscience & Biobehavioral Reviews	
Desai, Manan H.	2020	JOUR	Seminars in Thoracic and Cardiovascular Surgery	
Mannila, Linda	2023	JOUR	Computers and Education Open	
Pinky, 	2024	CHAP	No encontrado	
Koppl, Roger	2008	JOUR	Journal of Economic Behavior & Organization	
Wu, Yin	2021	JOUR	Addictive Behaviors	
Pileggi, Salvatore F.	2021	JOUR	Expert Systems with Applications	
Aydogan, Gökhan	2018	JOUR	Hormones and Behavior	
Hsu, Ting-Chia	2021	JOUR	Computers and Education: Artificial Intelligence	
Wiggins, Geraint A.	2020	JOUR	Physics of Life Reviews	
Estes, Zachary	2011	CHAP	No encontrado	
Nyblom, Åsa	2014	JOUR	Journal of Transport Geography	
Cárdenas-Sainz, Brandon Antonio	2022	JOUR	International Journal of Child-Computer Interaction	
Bewaji, Oluwasegun	2024	JOUR	Latin American Journal of Central Banking	
Mayo, Oded	2024	JOUR	Neuroscience & Biobehavioral Reviews	
Banker, Sarah M.	2022	JOUR	iScience	
Mouakher, A.	2019	JOUR	Information Sciences	
Kurth-Nelson, Zeb	2023	JOUR	Neuron	
Marupaka, Nagendra	2012	JOUR	Neural Networks	
Bank, Claudia	2014	JOUR	Trends in Genetics	
Kovalchuk, Sergey V.	2023	JOUR	Journal of Computational Science	
Abel, Dennis	2024	JOUR	Renewable and Sustainable Energy Reviews	
Red'ko, Vladimir G.	2023	JOUR	Cognitive Systems Research	
Chandrasegaran, Senthil	2023	JOUR	Design Studies	
Seriès, Peggy	2024	JOUR	Schizophrenia Research	
Peters, Megan A.K.	2022	JOUR	Neuroscience & Biobehavioral Reviews	
Fitrianto, Anwar	2016	JOUR	Procedia Economics and Finance	
Chang, Zefang	2023	JOUR	Neural Networks	
Fourny, Ghislain	2020	JOUR	Journal of Mathematical Psychology	
Scarr, Graham	2017	JOUR	Journal of Applied Biomedicine	
Lazebnik, Teddy	2023	JOUR	Ecological Modelling	
Stumpf, Michael P.H.	2021	JOUR	Current Opinion in Systems Biology	
Masel, Joanna	2007	JOUR	Journal of Economic Behavior & Organization	
Hermann, Erik	2024	JOUR	Journal of Business Research	
Möller, Tim Julian	2021	JOUR	Consciousness and Cognition	
Tontini, Gian Eugenio	2021	JOUR	Best Practice & Research Clinical Gastroenterology	
Yao, Yuyou	2023	JOUR	Computer Aided Geometric Design	
Lecorchick, Douglas	2020	JOUR	Procedia Computer Science	
Rosenblau, Gabriela	2023	JOUR	Neuroscience & Biobehavioral Reviews	
Perkins, Adam M.	2015	JOUR	Trends in Cognitive Sciences	
O'Hara, Ian	2022	JOUR	The Journal of Academic Librarianship	
Shklovskiy-Kordi, Nikita E.	2022	JOUR	Biosystems	
Ismailova, Larisa	2022	JOUR	Procedia Computer Science	
Wang, Wei	2021	JOUR	Journal of Controlled Release	
Zechmeister, C.	2023	JOUR	Automation in Construction	
Ranjan, Priya	2024	JOUR	Procedia Computer Science	
Ocak, Ceren	2023	JOUR	Computers and Education: Artificial Intelligence	
Manly, Charles J.	2008	JOUR	Drug Discovery Today	
Malgaroli, Matteo	2022	JOUR	Current Opinion in Psychology	
Banerjee, Romi	2017	JOUR	Information Sciences	
Tohidifar, Ali	2024	JOUR	Automation in Construction	
Schwab, Thomas	2021	JOUR	Journal of Public Economics	
Kaczanowska, Joanna	2022	JOUR	Cell Reports	
Madsen, Anders Koed	2022	JOUR	Cities	
Robson, Drew N.	2022	JOUR	Current Opinion in Neurobiology	
FeldmanHall, Oriel	2021	JOUR	Trends in Cognitive Sciences	
Raju, Vaishakh	2022	JOUR	Materials Today: Proceedings	
Kumar, Rajiv	2024	CHAP	No encontrado	
Schauerte, Nico	2023	JOUR	International Journal of Research in Marketing	
Bers, Marina U.	2019	JOUR	Computers & Education	
Roy Chowdhury, Pinaki	2023	JOUR	Cognitive Systems Research	
Schwabe, Lars	2013	JOUR	Trends in Cognitive Sciences	
Love, Tyler S.	2022	JOUR	International Journal of Child-Computer Interaction	
Narayanamurthy, Gopalakrishnan	2018	JOUR	Operations Research for Health Care	
Hao, Xinyue	2024	JOUR	Technology in Society	
Chen, Mingkai	2022	JOUR	Physical Communication	
Cecchi, Guillermo A.	2023	JOUR	Schizophrenia Research	
Zhang, Qian	2023	JOUR	Technology in Society	
Cabrera, Derek	2008	JOUR	Evaluation and Program Planning	
Omer, Rebaz Anwar	2024	JOUR	Results in Surfaces and Interfaces	
Long, Qingqi	2017	JOUR	Information Sciences	
Jin, Dongxue	2024	JOUR	Heliyon	
Cossentino, Massimo	2024	JOUR	Cognitive Systems Research	
Checiu, Denisa	2024	JOUR	Neurocomputing	
Chang, Kirk	2023	JOUR	Social Sciences & Humanities Open	
Delaney, Carol	2018	JOUR	Small Ruminant Research	
Ruiz, Phelipe Viana	2022	JOUR	Canadian Journal of Civil Engineering	
Montejo-López, Wilber	2024	JOUR	RSC Advances	
Zocca, Renan	2019	JOUR	Energy Procedia	
Walsh, Matthew M.	2021	JOUR	Journal of Applied Research in Memory and Cognition	
Hass, Richard W.	2020	CHAP	No encontrado	
Voyer, Andrea	2022	JOUR	Poetics	
Derreumaux, Yrian	2023	JOUR	Cognition	
No encontrado	2024	JOUR	JTCVS Open	
Richardson, A.S.	2021	JOUR	Computer Physics Communications	
Akrami, Athena	2012	JOUR	Brain Research	
Mortola, Jacopo P.	2016	JOUR	Respiratory Physiology & Neurobiology	
Ryu, Jegoon	2021	JOUR	Pattern Recognition	
Treur, Jan	2013	JOUR	Procedia - Social and Behavioral Sciences	
Klimova, Alexandra	2023	JOUR	Procedia Computer Science	
Murillo, Angela P.	2020	JOUR	Data and Information Management	
Fontes, Mario Madureira	2024	JOUR	Thinking Skills and Creativity	
Li, Dongna	2022	JOUR	European Journal of Pharmacology	
Girard, Jeffrey M.	2022	JOUR	Schizophrenia Research	
Cui, Ziheng	2022	JOUR	Chinese Journal of Chemical Engineering	
Poulova, Petra	2015	JOUR	Procedia Computer Science	
Yildirim, Ilker	2019	JOUR	Current Opinion in Neurobiology	
Shenhav, Liat	2022	JOUR	mSystems	
Çakıroğlu, Ünal	2021	JOUR	Thinking Skills and Creativity	
Smith, Glen	2012	JOUR	Ocean & Coastal Management	
Peng, Xia	2023	JOUR	Procedia Computer Science	
Li, Guanghui	2024	JOUR	Neurocomputing	
Mainzer, Klaus	2007	CHAP	No encontrado	
Green, Jeremy B.A.	2021	JOUR	Biophysical Journal	
De Chenne, Adaline	2022	JOUR	The Journal of Mathematical Behavior	
Melham, Tom	2013	JOUR	Progress in Biophysics and Molecular Biology	
Ellis, Reena	2022	JOUR	British Journal of Anaesthesia	
Holroyd, Clay B.	2021	JOUR	Trends in Cognitive Sciences	
McAndrew, Thomas	2020	JOUR	Structural Heart	
Caetano, Inês	2020	JOUR	Frontiers of Architectural Research	
Noori Goodarzi, Narjes	2023	JOUR	Infection, Genetics and Evolution	
Coricelli, G.	2015	CHAP	No encontrado	
Alonso-Sánchez, María Francisca	2023	JOUR	Schizophrenia Research	
Magana, Alejandra J.	2016	JOUR	Computers in Human Behavior	
Sewing, Andreas	2008	JOUR	Drug Discovery Today: Technologies	
Schlesinger, Matthew	2020	CHAP	No encontrado	
Wolfengagen, Viacheslav E.	2016	JOUR	Procedia Computer Science	
Couclelis, Helen	2020	CHAP	No encontrado	
Rollwage, Max	2019	JOUR	Trends in Cognitive Sciences	
Ahamed, Syed V.	2017	CHAP	No encontrado	
Jung, Yong Ju	2023	CHAP	No encontrado	
Baggio, Rodolfo	2020	JOUR	Annals of Tourism Research Empirical Insights	
Augello, Agnese	2016	JOUR	Biologically Inspired Cognitive Architectures	
Chung, Cindy K.	2008	JOUR	Journal of Research in Personality	
Landau, Barbara	2024	JOUR	Cognitive Development	
Bacelar Almeida, José Carlos	2022	JOUR	Journal of Logical and Algebraic Methods in Programming	
Kasturirangan, Rajesh	2007	CHAP	No encontrado	
Cui, Miao	2021	JOUR	Laboratory Investigation	
Vu-Quoc, Loc	2023	JOUR	CMES - Computer Modeling in Engineering and Sciences	
Stupurienė, Gabrielė	2024	JOUR	Computers & Education	
Chakraborty, Abhijit	2021	JOUR	Computational and Theoretical Chemistry	
Shklovskiy-Kordi, Nikita E.	2022	JOUR	Biosystems	
Goldman, Mark S	2017	JOUR	Current Opinion in Neurobiology	
Arbelaez Ossa, Laura	2023	JOUR	Artificial Intelligence in Medicine	
Sharma, Moolchand	2020	CHAP	No encontrado	
Tuthill, John	2020	JOUR	Current Biology	
Wolfram, Stephen	2020	JOUR	Journal of Computational Science	
Howland, Kate	2015	JOUR	Computers & Education	
Preisig, Heinz A.	2012	JOUR	Energy Procedia	
Dinov, Ivo D.	2008	JOUR	Computers & Education	
Casals, Marti	2019	JOUR	Apunts. Medicina de l'Esport	
Upadhyay, Shalini	2017	JOUR	Procedia Computer Science	
Cottam, Ron	2022	JOUR	Biosystems	
Hassannezhad, Mohammad	2022	JOUR	Expert Systems with Applications	
Maruyama, Yukiko	2018	JOUR	Procedia Computer Science	
Fletcher, Angus	2023	JOUR	Journal of Creativity	
Sun, Zhibin	2022	JOUR	International Journal of Applied Earth Observation and Geoinformation	
Csizmadia, Petra	2024	JOUR	Biological Psychology	
Hani, Umme	2023	JOUR	Case Studies in Thermal Engineering	
DePasquale, Brian	2023	JOUR	Neuron	
Chiaramonti, David	2013	JOUR	Applied Energy	
Patton, Desmond U.	2022	JOUR	Preventive Medicine	
Liu, Yu-Tung	2006	JOUR	Design Studies	
Zengaffinen, Francilia	2023	JOUR	Neuroimage: Reports	
Mayer, Richard E.	2023	CHAP	No encontrado	
Canbaloğlu, Gülay	2022	JOUR	Cognitive Systems Research	
Casali, Emanuele	2022	JOUR	Organometallics	
Koromina, Maria	2022	CHAP	No encontrado	
Psycharis, Sarantos	2014	JOUR	Computers & Education	
Ascione, Fabrizio	2021	JOUR	Energy and Buildings	
Gepshtein, Sergei	2021	JOUR	Journal of Applied Research in Memory and Cognition	
McMillan, Brandon G.	2024	JOUR	The Journal of Mathematical Behavior	
Batzias, F.A.	2012	JOUR	Procedia Engineering	
de Gelder, Beatrice	2021	JOUR	Trends in Cognitive Sciences	
Bian, Jiang	2019	JOUR	Journal of Clinical Epidemiology	
Marenko, Betti	2015	JOUR	Design Studies	
Good, Judith	2017	JOUR	Journal of Visual Languages & Computing	
Cavazza, Nicoletta	2014	JOUR	The Social Science Journal	
Hadas, Eran	2024	JOUR	Thinking Skills and Creativity	
Ismail, Fyaz M.D.	2024	CHAP	No encontrado	
Kringelbach, Morten L.	2020	JOUR	Cell Reports	
Khoshnam, Fereshteh	2022	JOUR	Expert Systems with Applications	
Chen, Chong	2015	JOUR	Neuroscience & Biobehavioral Reviews	
Comba, Peter	2021	CHAP	No encontrado	
Asprion, Norbert	2022	CHAP	No encontrado	
Tan, Eugene	2020	JOUR	Economics Letters	
Kruse, Jordanna A.	2023	JOUR	Brain and Cognition	
Caloffi, Annalisa	2023	JOUR	Technological Forecasting and Social Change	
Dakin, Steven C.	2009	JOUR	Current Biology	
Noori Goodarzi, Narjes	2022	JOUR	Microbial Pathogenesis	
Garg, Vijay K.	2014	JOUR	Information and Computation	
Psycharis, Sarantos	2013	JOUR	Computers & Education	
Belik, Ivan	2023	JOUR	Journal of Business Research	
Cheshmehzangi, Ali	2017	JOUR	International Journal of Sustainable Built Environment	
Matsumoto, Elia Yathie	2022	JOUR	Expert Systems with Applications	
Bauso, Dario	2016	JOUR	European Journal of Control	
Yang, Hejun	2024	JOUR	Journal of Energy Storage	
Both, Fiemke	2015	JOUR	Biologically Inspired Cognitive Architectures	
Liu, Xiaohong	2023	JOUR	Thinking Skills and Creativity	
Klimova, Alexandra	2020	JOUR	Procedia Computer Science	
Griffiths, Thomas L.	2015	JOUR	Cognition	
van Benthem, Johan	2018	JOUR	Information and Computation	
Bicer, Ali	2024	JOUR	Thinking Skills and Creativity	
Cain, John	2023	JOUR	She Ji: The Journal of Design, Economics, and Innovation	
Poon, Connie S.K.	2006	JOUR	Journal of Experimental Social Psychology	
Neill, Lindsay	2024	JOUR	International Journal of Gastronomy and Food Science	
Karaca, Yeliz	2022	CHAP	No encontrado	
Iglesias, Ana	2011	JOUR	Environmental Science & Policy	
Capelli, Claudio	2023	CHAP	No encontrado	
Zheng, Wenbo	2024	CHAP	No encontrado	
Gamal, Abduallah	2024	JOUR	Energy Reports	
Alippi, Cesare	2024	CHAP	No encontrado	
Abuhay, Tesfamariam M.	2018	JOUR	Journal of Computational Science	
Brea, Johanni	2016	JOUR	Current Opinion in Behavioral Sciences	
Patt, Virginie M.	2024	JOUR	Neuropsychologia	
Macrides, Elena	2022	JOUR	International Journal of Child-Computer Interaction	
Kwok, Man Ki	2018	JOUR	EBioMedicine	
Bargmann, Cori	2024	JOUR	Neuron	
Kucuk, Sevda	2020	JOUR	International Journal of Child-Computer Interaction	
Bernal, Marcelo	2015	JOUR	Design Studies	
Aizawa, Kenneth	2010	JOUR	Studies in History and Philosophy of Science Part A	
Maiti, Monica	2023	JOUR	Heliyon	
Igamberdiev, Abir U.	2021	JOUR	Biosystems	
Joshi, Anand A.	2018	JOUR	NeuroImage	
Lamprecht, Anna-Lena	2015	JOUR	Procedia Computer Science	
Aguayo, Claudio	2023	JOUR	Heliyon	
Mascle, Christian	2008	JOUR	International Journal of Production Economics	
Zhang, Peiying	2021	JOUR	Digital Communications and Networks	
Jabi, Wassim	2017	JOUR	Design Studies	
Maley, C.J.	2016	CHAP	No encontrado	
Drukarch, Benjamin	2018	JOUR	Progress in Neurobiology	
Chen, Zhibin	2015	JOUR	Procedia Computer Science	
Karaca, Yeliz	2022	CHAP	No encontrado	
Mulatti, Claudio	2023	JOUR	Journal of Creativity	
Khatun, Mst Romana	2023	JOUR	Materials Chemistry and Physics	
Huu Son, Hoang	2017	JOUR	Procedia Computer Science	
Dunne, Simon	2013	JOUR	Current Opinion in Neurobiology	
Sáez-López, José-Manuel	2016	JOUR	Computers & Education	
Maxville, Valerie	2013	JOUR	Procedia Computer Science	
Swanson, H. Lee	2020	JOUR	Cognitive Development	
Yaghini, Nazila	2022	JOUR	Polymer	
Goles, Eric	2020	JOUR	Physics Letters A	
Sprevak, Mark	2010	JOUR	Studies in History and Philosophy of Science Part A	
Griessinger, Thibaud	2015	JOUR	Current Opinion in Behavioral Sciences	
Hossain, Md. Sajjad	2020	JOUR	ICT Express	
Ren, Panfeng	2021	JOUR	Journal of Environmental Chemical Engineering	
Zha, Shenghua	2022	JOUR	Computers & Education	
Di Lernia, Daniele	2023	JOUR	International Journal of Clinical and Health Psychology	
Loosen, Alisa M.	2020	JOUR	Neuroscience & Biobehavioral Reviews	
Shahi, Sheida	2021	JOUR	Automation in Construction	
Anzola, David	2019	JOUR	Studies in History and Philosophy of Science Part A	
Snyder, Carolyn W.	2011	CHAP	No encontrado	
Hackel, Leor M	2018	JOUR	Current Opinion in Psychology	
Broo, Didem Gürdür	2022	JOUR	Journal of Industrial Information Integration	
Martinez-Conde, Susana	2018	JOUR	Trends in Neurosciences	
Ebitz, R. Becket	2021	JOUR	Neuron	
Ahmadi, Meisam	2016	JOUR	Futures	
Landau, Rubin H.	2011	JOUR	Computer Physics Communications	
Bicer, Ali	2021	JOUR	Thinking Skills and Creativity	
Cao, Paul Y.	2016	JOUR	Procedia Computer Science	
Baldwin, Eric T.	2012	JOUR	Drug Discovery Today	
Chen, Chaomei	2009	JOUR	Journal of Informetrics	
Alexandru, Andrei	2022	JOUR	Theoretical Computer Science	
Kvistborg, Pia	2015	JOUR	Immunity	
Yao, Yiyu	2022	JOUR	International Journal of Approximate Reasoning	
Lockwood, Elise	2020	JOUR	The Journal of Mathematical Behavior	
Liebenthal, Einat	2023	JOUR	Schizophrenia Research	
Garcia, I.	2013	JOUR	Computers & Education	
Panskyi, Taras	2019	JOUR	Thinking Skills and Creativity	
Dancy, Christopher L.	2015	JOUR	Procedia Computer Science	
Sanislow, Charles A.	2019	JOUR	Neuron	
Chao, Po-Yao	2016	JOUR	Computers & Education	
Tuhkala, Ari	2019	JOUR	International Journal of Child-Computer Interaction	
Marshall, Perry	2021	JOUR	Progress in Biophysics and Molecular Biology	
Helikar, Tomáš	2021	JOUR	Trends in Molecular Medicine	
Schorlemmer, Marco	2021	JOUR	Cognitive Systems Research	
Mossad, Sarah I.	2016	JOUR	NeuroImage	
Hedblom, Maria M.	2016	JOUR	Cognitive Systems Research	
Horwitz, Jeremy A.K.	2023	CHAP	No encontrado	
Yang, Xin-She	2014	JOUR	Procedia Computer Science	
Fuchs, Matthias	2023	JOUR	Annals of Tourism Research	
Dell’Angelo, David	2022	CHAP	No encontrado	
Suo, Langwangqing	2024	JOUR	International Journal of Approximate Reasoning	
SUI, Dong	2022	JOUR	Digital Chinese Medicine	
Ferguson, Amanda M.	2024	JOUR	Trends in Cognitive Sciences	
Scott, N.S.	2020	JOUR	Computer Physics Communications	
Taub, Rivka	2015	JOUR	Computers & Education	
Chang, Teng-Wen	2014	JOUR	Frontiers of Architectural Research	
Saha, Sourav	2021	JOUR	Computer Methods in Applied Mechanics and Engineering	
Cesari, Matteo	2017	JOUR	Journal of the American Medical Directors Association	
Shenglai, Xia	2012	JOUR	Procedia Engineering	
Edelman, Shimon	2017	JOUR	Language Sciences	
Grigoriadis, Kostas	2022	JOUR	Frontiers of Architectural Research	
Srihari, Sargur N.	2014	JOUR	Pattern Recognition	
Feher, Victoria A	2014	JOUR	Current Opinion in Structural Biology	
Li, Min	2024	JOUR	Computers in Biology and Medicine	
Kauffman, Louis H.	2015	JOUR	Applied Mathematics and Computation	
Lourdusamy, Ravi	2020	CHAP	No encontrado	
Zarouali, Brahim	2024	JOUR	Computers in Human Behavior	
Nityananda, Vivek	2020	JOUR	Current Biology	
Kokolakis, Nick-Marios T.	2023	JOUR	Automatica	
Jończyk, Rafał	2024	JOUR	NeuroImage	
Said, Hanaa M.	2015	JOUR	Procedia Computer Science	
Sosa, Ricardo	2018	JOUR	She Ji: The Journal of Design, Economics, and Innovation	
King, LaGarrett J.	2014	JOUR	The Journal of Social Studies Research	
Gjorgjieva, Julijana	2021	JOUR	Current Opinion in Neurobiology	
Lee, Bruce Y.	2015	JOUR	Vaccine	
Andrejczuk, Ewa	2019	JOUR	Knowledge-Based Systems	
Ghavanloo, Esmaeal	2023	JOUR	Physics Reports	
Lee, Keunhye	2023	JOUR	Thinking Skills and Creativity	
Kong, Zong Yang	2023	JOUR	Digital Chemical Engineering	
Ideker, Trey	2009	JOUR	Cell	
Sharma, Priyanka	2023	CHAP	No encontrado	
Tirado-Ramos, A.	2010	JOUR	Procedia Computer Science	
Yousef, Reda G.	2024	JOUR	Journal of Molecular Structure	
Costa, Jose	2012	JOUR	Molecular Oncology	
Heinzle, Jakob	2016	JOUR	Current Opinion in Behavioral Sciences	
Chapleski, Robert C.	2020	JOUR	iScience	
Leron, Uri	2014	JOUR	The Journal of Mathematical Behavior	
Han, Zengliang	2024	JOUR	Defence Technology	
Halpern, Joseph Y.	2015	JOUR	Journal of Economic Theory	
Ku, Benson S.	2021	JOUR	Psychiatry Research	
Fabry, Regina E.	2018	JOUR	Cognitive Systems Research	
No encontrado	2016	JOUR	Cell Systems	
Bryant, Benjamin P.	2010	JOUR	Technological Forecasting and Social Change	
Arslan, Berat	2024	JOUR	Journal of Affective Disorders	
Watford, Sean	2019	JOUR	Toxicology and Applied Pharmacology	
Rusch, Tessa	2020	JOUR	Neuropsychologia	
Theodoropoulos, Anastasios	2021	JOUR	International Journal of Child-Computer Interaction	
Liu, Hongwei	2021	JOUR	Knowledge-Based Systems	
Wang, Ning	2020	JOUR	Applied Soft Computing	
Arfé, Barbara	2020	JOUR	Computers & Education	
Bukowski, Radek	2021	JOUR	American Journal of Obstetrics and Gynecology	
Kita, Naoki	2020	JOUR	Computers & Graphics	
Winter, Victor	2018	JOUR	International Journal of Child-Computer Interaction	
Prado, Hércules A. do	2019	JOUR	Procedia Computer Science	
Motomura, Shinichi	2010	JOUR	Cognitive Systems Research	
Vancouver, Jeffrey B.	2014	JOUR	Organizational Behavior and Human Decision Processes	
Stolpe, Karin	2024	JOUR	Computers and Education Open	
coons, ginger “all-lower-case”	2015	JOUR	Design Studies	
Boukhanovsky, Alexander V.	2015	JOUR	Procedia Computer Science	
Karsakov, Andrey	2015	JOUR	Procedia Computer Science	
Couclelis, H.	2009	CHAP	No encontrado	
Petzschner, Frederike H.	2017	JOUR	Biological Psychiatry	
Zucker, Steven W.	2012	JOUR	Journal of Physiology-Paris	
