Primer Autor	Año Publicación	Tipo Producto	Journal	Afiliación	Publisher	Base Datos	Citaciones
Wandell, Brian A.	2017	JOUR	Neuron	No encontrado	No encontrado	No encontrado	0
Boulgakov, Alexander A.	2020	JOUR	Trends in Biotechnology	No encontrado	No encontrado	No encontrado	0
Riggi, Margot	2024	JOUR	Structure	No encontrado	No encontrado	No encontrado	0
Yue, Shuaiting	2023	JOUR	Learning and Motivation	No encontrado	No encontrado	No encontrado	0
Huang, Xing	2022	JOUR	Advances in Archaeomaterials	No encontrado	No encontrado	No encontrado	0
Zhou, Xinsen	2023	JOUR	Applied Soft Computing	No encontrado	No encontrado	No encontrado	0
Leite, Marcos Esdras	2024	JOUR	Environmental Science & Policy	No encontrado	No encontrado	No encontrado	0
Prato, Carlo G.	2018	JOUR	Traffic Injury Prevention	No encontrado	No encontrado	No encontrado	0
Castagna, Diana	2024	CHAP	No encontrado	No encontrado	Elsevier	No encontrado	0
Pezzulo, Giovanni	2014	JOUR	Trends in Cognitive Sciences	No encontrado	No encontrado	No encontrado	0
Erioli, Alessio	2011	JOUR	Procedia Engineering	No encontrado	No encontrado	No encontrado	0
Marchand, Elisabeth	2018	CHAP	No encontrado	No encontrado	Academic Press	No encontrado	0
Luo, Jianxi	2021	JOUR	Knowledge-Based Systems	No encontrado	No encontrado	No encontrado	0
Ip, Ryan H.L.	2024	JOUR	Knowledge-Based Systems	No encontrado	No encontrado	No encontrado	0
Wei, Pi-Jing	2022	JOUR	Methods	No encontrado	No encontrado	No encontrado	0
Zhang, Wenhao	2024	JOUR	Image and Vision Computing	No encontrado	No encontrado	No encontrado	0
Antonides, Joseph	2022	JOUR	The Journal of Mathematical Behavior	No encontrado	No encontrado	No encontrado	0
Martin, William	2010	JOUR	Linear Algebra and its Applications	No encontrado	No encontrado	No encontrado	0
Zhang, Chaobo	2022	JOUR	Building and Environment	No encontrado	No encontrado	No encontrado	0
Cetinsaya, Berk	2024	JOUR	Swarm and Evolutionary Computation	No encontrado	No encontrado	No encontrado	0
Uçan, Ahmet Bilal	2022	JOUR	Information and Computation	No encontrado	No encontrado	No encontrado	0
d’Oliveira Coelho, João	2020	CHAP	No encontrado	No encontrado	Academic Press	No encontrado	0
Gallistel, Randy	2017	CHAP	No encontrado	No encontrado	Academic Press	No encontrado	0
Rich, Karl M.	2018	JOUR	Agricultural Systems	No encontrado	No encontrado	No encontrado	0
Barth, Hilary	2009	JOUR	Journal of Experimental Child Psychology	No encontrado	No encontrado	No encontrado	0
Phillips, Owen R.	2009	JOUR	Schizophrenia Research	No encontrado	No encontrado	No encontrado	0
Grimm, Veronika	2021	JOUR	Omega	No encontrado	No encontrado	No encontrado	0
Hyland, Martin	2007	JOUR	Electronic Notes in Theoretical Computer Science	No encontrado	No encontrado	No encontrado	0
Shen, Ji	2023	CHAP	No encontrado	No encontrado	Elsevier	No encontrado	0
Trautteur, Giuseppe	2007	JOUR	Theoretical Computer Science	No encontrado	No encontrado	No encontrado	0
Degrande, Tine	2019	JOUR	Learning and Instruction	No encontrado	No encontrado	No encontrado	0
Oyefusi, Oluwatobi Nurudeen	2024	JOUR	Environmental Impact Assessment Review	No encontrado	No encontrado	No encontrado	0
Grobas, Iago	2020	JOUR	Biochemical Society Transactions	No encontrado	No encontrado	No encontrado	0
Day, Harry	2021	JOUR	Journal of Wind Engineering and Industrial Aerodynamics	No encontrado	No encontrado	No encontrado	0
Lakhlifi, Camille	2023	JOUR	La Presse Médicale	No encontrado	No encontrado	No encontrado	0
Rehder, Bob	2014	JOUR	Cognitive Psychology	No encontrado	No encontrado	No encontrado	0
Werner, Gerhard	2007	JOUR	Biosystems	No encontrado	No encontrado	No encontrado	0
Ray, Douglas	2020	JOUR	Reliability Engineering & System Safety	No encontrado	No encontrado	No encontrado	0
Ahman, Danel	2013	JOUR	Electronic Notes in Theoretical Computer Science	No encontrado	No encontrado	No encontrado	0
Ueno, Taiji	2011	JOUR	Neuron	No encontrado	No encontrado	No encontrado	0
Valyan, Alireza	2020	CHAP	No encontrado	No encontrado	Academic Press	No encontrado	0
Frantz, Roger	2020	CHAP	No encontrado	No encontrado	Academic Press	No encontrado	0
Xiong, Juxia	2020	JOUR	Computer Communications	No encontrado	No encontrado	No encontrado	0
Gao, Ying	2014	JOUR	Consciousness and Cognition	No encontrado	No encontrado	No encontrado	0
Meerwijk, Esther L.	2024	JOUR	Journal of Biomedical Informatics	No encontrado	No encontrado	No encontrado	0
Roy, Dilip Kumar	2024	JOUR	Journal of Hydrology	No encontrado	No encontrado	No encontrado	0
Miller, Tad	2016	JOUR	Journal of Accounting Education	No encontrado	No encontrado	No encontrado	0
McDonald, Kelsey R	2019	JOUR	Current Opinion in Behavioral Sciences	No encontrado	No encontrado	No encontrado	0
Ding, Ai-Chu Elisha	2024	JOUR	Computers & Education	No encontrado	No encontrado	No encontrado	0
Sahu, Kisor Kumar	2022	CHAP	No encontrado	No encontrado	Elsevier	No encontrado	0
Larson, Elaine L.	2011	JOUR	Nursing Outlook	No encontrado	No encontrado	No encontrado	0
Liu, Chuanhai	2014	JOUR	International Journal of Approximate Reasoning	No encontrado	No encontrado	No encontrado	0
Chorafas, Dimitris N.	2007	CHAP	No encontrado	No encontrado	Butterworth-Heinemann	No encontrado	0
Zhu, Enping	2023	JOUR	Computer Methods in Applied Mechanics and Engineering	No encontrado	No encontrado	No encontrado	0
Gutiérrez Ortiz, F.J.	2022	JOUR	Energy Conversion and Management: X	No encontrado	No encontrado	No encontrado	0
Barton, C. Michael	2012	JOUR	Ecological Modelling	No encontrado	No encontrado	No encontrado	0
Pimdee, Paitoon	2024	JOUR	Heliyon	No encontrado	No encontrado	No encontrado	0
Clegg, Stewart	2024	JOUR	The International Journal of Management Education	No encontrado	No encontrado	No encontrado	0
Legleiter, Carl J.	2013	JOUR	Geomorphology	No encontrado	No encontrado	No encontrado	0
Moss, Arthur J.	2013	JOUR	Progress in Cardiovascular Diseases	No encontrado	No encontrado	No encontrado	0
Chen, Zhiyi	2022	JOUR	Brain and Cognition	No encontrado	No encontrado	No encontrado	0
O'Brien, Thomas C.	2021	JOUR	Journal of Experimental Social Psychology	No encontrado	No encontrado	No encontrado	0
Abonizio, Hugo Queiroz	2023	JOUR	International Journal of Medical Informatics	No encontrado	No encontrado	No encontrado	0
Schwab, Stefan	2018	JOUR	IFAC-PapersOnLine	No encontrado	No encontrado	No encontrado	0
Wang, Bing	2023	JOUR	Safety Science	No encontrado	No encontrado	No encontrado	0
Espinosa Mireles de Villafranca, Alonso	2024	JOUR	Transportation Research Interdisciplinary Perspectives	No encontrado	No encontrado	No encontrado	0
Goldschmidt, Gabriela	2023	JOUR	Design Studies	No encontrado	No encontrado	No encontrado	0
Deckert, Matthias	2021	JOUR	Brain and Language	No encontrado	No encontrado	No encontrado	0
Wolff, Christian	2012	JOUR	Physica B: Condensed Matter	No encontrado	No encontrado	No encontrado	0
Chatterjee, Indranath	2024	JOUR	Psychiatry Research: Neuroimaging	No encontrado	No encontrado	No encontrado	0
Zhang, Qiyu	2024	JOUR	Science in One Health	No encontrado	No encontrado	No encontrado	0
Sun, Rui	2019	JOUR	Engineering Failure Analysis	No encontrado	No encontrado	No encontrado	0
Venkateswarlu, K.	2020	JOUR	Materials Today: Proceedings	No encontrado	No encontrado	No encontrado	0
Xiao, Sinan	2021	JOUR	Applied Energy	No encontrado	No encontrado	No encontrado	0
Rodríguez-Planas, Nuria	2022	JOUR	Journal of Economic Behavior & Organization	No encontrado	No encontrado	No encontrado	0
Stammitti, Aurelio	2013	JOUR	Education for Chemical Engineers	No encontrado	No encontrado	No encontrado	0
Egeland, Jonathan	2024	JOUR	New Ideas in Psychology	No encontrado	No encontrado	No encontrado	0
Inglis, Nicole C.	2022	JOUR	Landscape and Urban Planning	No encontrado	No encontrado	No encontrado	0
Palmieri, John	2020	JOUR	Data in Brief	No encontrado	No encontrado	No encontrado	0
Kastellakis, George	2015	JOUR	Progress in Neurobiology	No encontrado	No encontrado	No encontrado	0
Sánchez, Luis	2024	JOUR	Advances in Space Research	No encontrado	No encontrado	No encontrado	0
Bottge, B.A.	2010	CHAP	No encontrado	No encontrado	Elsevier	No encontrado	0
Zhu, Rongbo	2020	JOUR	Future Generation Computer Systems	No encontrado	No encontrado	No encontrado	0
Velichkovsky, Boris B.	2017	JOUR	Consciousness and Cognition	No encontrado	No encontrado	No encontrado	0
Koh, Joel En Wei	2020	JOUR	Pattern Recognition Letters	No encontrado	No encontrado	No encontrado	0
Klee Barillas, Joaquín	2015	JOUR	Applied Energy	No encontrado	No encontrado	No encontrado	0
Boratyńska, Katarzyna	2016	JOUR	Journal of Business Research	No encontrado	No encontrado	No encontrado	0
Morra, Gabriele	2024	JOUR	Earthquake Research Advances	No encontrado	No encontrado	No encontrado	0
Heilman, Kenneth M.	2013	CHAP	No encontrado	No encontrado	Elsevier	No encontrado	0
Yurkovich, James T	2018	JOUR	Current Opinion in Biotechnology	No encontrado	No encontrado	No encontrado	0
Profillidis, V.A.	2019	CHAP	No encontrado	No encontrado	Elsevier	No encontrado	0
Artemov, V.	2009	JOUR	International Journal of Heat and Mass Transfer	No encontrado	No encontrado	No encontrado	0
Safkhani, Masoumeh	2021	JOUR	Vehicular Communications	No encontrado	No encontrado	No encontrado	0
Huang, Keke	2021	JOUR	ISA Transactions	No encontrado	No encontrado	No encontrado	0
Arun, Adith S.	2024	JOUR	iScience	No encontrado	No encontrado	No encontrado	0
Wojtak, Weronika	2023	JOUR	Cognitive Systems Research	No encontrado	No encontrado	No encontrado	0
Yu, Bin	2023	JOUR	Information Sciences	No encontrado	No encontrado	No encontrado	0
Rodriguez Mendez, Quirina	2024	JOUR	Environmental Science & Policy	No encontrado	No encontrado	No encontrado	0
Li, Francis G.N.	2018	JOUR	Energy Research & Social Science	No encontrado	No encontrado	No encontrado	0
Grant, John	2024	JOUR	Artificial Intelligence	No encontrado	No encontrado	No encontrado	0
Sohail, Ayesha	2019	JOUR	Journal of Molecular Liquids	No encontrado	No encontrado	No encontrado	0
Davies, David Liam	2024	JOUR	Future Healthcare Journal	No encontrado	No encontrado	No encontrado	0
Izmalkov, Sergei	2011	JOUR	Games and Economic Behavior	No encontrado	No encontrado	No encontrado	0
Van de Cruys, Sander	2021	JOUR	Current Opinion in Psychology	No encontrado	No encontrado	No encontrado	0
Oitavem, I.	2011	JOUR	Annals of Pure and Applied Logic	No encontrado	No encontrado	No encontrado	0
Vodovotz, Yoram	2015	CHAP	No encontrado	No encontrado	Academic Press	No encontrado	0
Ma, Jie	2019	JOUR	Applied Mathematics and Computation	No encontrado	No encontrado	No encontrado	0
Martin, Nick	2023	JOUR	Applied Energy	No encontrado	No encontrado	No encontrado	0
Piot, M.	2006	CHAP	No encontrado	No encontrado	Elsevier	No encontrado	0
Aguirre, Robert	2011	JOUR	Journal of Visual Languages & Computing	No encontrado	No encontrado	No encontrado	0
Liu, Qilong	2024	JOUR	Pattern Recognition	No encontrado	No encontrado	No encontrado	0
Finotto, V.C.	2013	JOUR	Advances in Engineering Software	No encontrado	No encontrado	No encontrado	0
Wei, Zheng	2022	JOUR	Journal of Power Sources	No encontrado	No encontrado	No encontrado	0
Xin, Wang	2023	JOUR	Learning and Motivation	No encontrado	No encontrado	No encontrado	0
Silva, Rui	2023	JOUR	Intelligent Systems with Applications	No encontrado	No encontrado	No encontrado	0
Cooke, Steven J.	2020	JOUR	FACETS	No encontrado	No encontrado	No encontrado	0
Brizuela, Bárbara M.	2024	JOUR	Learning and Instruction	No encontrado	No encontrado	No encontrado	0
Pang, Yanjie	2016	JOUR	Digital Signal Processing	No encontrado	No encontrado	No encontrado	0
Maguire, Melissa Jane	2022	JOUR	Seizure: European Journal of Epilepsy	No encontrado	No encontrado	No encontrado	0
Rasheed, Nadia	2016	JOUR	Cognitive Systems Research	No encontrado	No encontrado	No encontrado	0
Escamilla, Antonio	2021	JOUR	International Journal of Human-Computer Studies	No encontrado	No encontrado	No encontrado	0
Kalyan, Katikapalli Subramanyam	2024	JOUR	Natural Language Processing Journal	No encontrado	No encontrado	No encontrado	0
Su, Chang	2021	JOUR	Neurocomputing	No encontrado	No encontrado	No encontrado	0
Takahashi, Toru	2023	JOUR	Journal of Computational Physics	No encontrado	No encontrado	No encontrado	0
Wang, Anxi	2020	JOUR	Digital Communications and Networks	No encontrado	No encontrado	No encontrado	0
Gaur, Loveleen	2023	JOUR	Ecological Informatics	No encontrado	No encontrado	No encontrado	0
Ramesh, G.K.	2021	JOUR	Chinese Journal of Physics	No encontrado	No encontrado	No encontrado	0
Bisht, Sankalp Singh	2022	CHAP	No encontrado	No encontrado	Academic Press	No encontrado	0
Roberts, James A.	2017	JOUR	Biological Psychiatry: Cognitive Neuroscience and Neuroimaging	No encontrado	No encontrado	No encontrado	0
Overlan, Matthew C.	2017	JOUR	Cognition	No encontrado	No encontrado	No encontrado	0
Zhu, Shaopeng	2021	JOUR	IFAC-PapersOnLine	No encontrado	No encontrado	No encontrado	0
Gao, Zilong	2019	JOUR	Brain Research	No encontrado	No encontrado	No encontrado	0
Moglia, Magnus	2017	JOUR	Sustainable Cities and Society	No encontrado	No encontrado	No encontrado	0
Hogan, Michael J.	2008	JOUR	New Ideas in Psychology	No encontrado	No encontrado	No encontrado	0
Tarapoulouzi, Maria	2022	JOUR	Talanta	No encontrado	No encontrado	No encontrado	0
Chiu, Thomas K.F.	2024	JOUR	Computers and Education: Artificial Intelligence	No encontrado	No encontrado	No encontrado	0
Lang, Sebastian	2017	JOUR	Procedia Engineering	No encontrado	No encontrado	No encontrado	0
Alayande, Folarin	2020	JOUR	Scientific African	No encontrado	No encontrado	No encontrado	0
Igelström, Kajsa M.	2017	JOUR	Neuropsychologia	No encontrado	No encontrado	No encontrado	0
David, Love O.	2022	JOUR	Journal of Cleaner Production	No encontrado	No encontrado	No encontrado	0
Machado, Natália	2021	JOUR	Journal of Building Engineering	No encontrado	No encontrado	No encontrado	0
Cai, Jing	2012	JOUR	Information Sciences	No encontrado	No encontrado	No encontrado	0
Jang, Selim	2020	JOUR	Neuropsychologia	No encontrado	No encontrado	No encontrado	0
Wallentin, Gudrun	2017	JOUR	Ecological Modelling	No encontrado	No encontrado	No encontrado	0
Saylik, Rahmi	2022	JOUR	Neuroscience Letters	No encontrado	No encontrado	No encontrado	0
Mardia, Kanti V.	2024	JOUR	Journal of Multivariate Analysis	No encontrado	No encontrado	No encontrado	0
Dwyer, Paul	2011	JOUR	Computers in Human Behavior	No encontrado	No encontrado	No encontrado	0
Barreto, André M.S.	2011	JOUR	IFAC Proceedings Volumes	No encontrado	No encontrado	No encontrado	0
Metta, Matteo	2024	JOUR	Journal of Rural Studies	No encontrado	No encontrado	No encontrado	0
Craig, Cheryl J.	2018	JOUR	Teaching and Teacher Education	No encontrado	No encontrado	No encontrado	0
Duan, Zhen	2021	JOUR	Information Sciences	No encontrado	No encontrado	No encontrado	0
Mazumder, A.	2023	JOUR	Heliyon	No encontrado	No encontrado	No encontrado	0
Abdussami, Mohammad	2023	JOUR	Ad Hoc Networks	No encontrado	No encontrado	No encontrado	0
Mørch, Anders I.	2023	JOUR	Learning, Culture and Social Interaction	No encontrado	No encontrado	No encontrado	0
Xie, Kui	2018	JOUR	The Internet and Higher Education	No encontrado	No encontrado	No encontrado	0
Hobensack, Mollie	2024	JOUR	International Journal of Nursing Studies	No encontrado	No encontrado	No encontrado	0
Chen, Weiting	2024	JOUR	Applied Mathematical Modelling	No encontrado	No encontrado	No encontrado	0
Mohit, 	2022	JOUR	Materials Today: Proceedings	No encontrado	No encontrado	No encontrado	0
Merrick, James H.	2019	JOUR	European Journal of Operational Research	No encontrado	No encontrado	No encontrado	0
Boland, Natashia	2019	JOUR	EURO Journal on Transportation and Logistics	No encontrado	No encontrado	No encontrado	0
Stapleton, Larry	2024	JOUR	Annual Reviews in Control	No encontrado	No encontrado	No encontrado	0
Wei, Feifei	2024	JOUR	Pattern Recognition	No encontrado	No encontrado	No encontrado	0
Swofford, H.	2022	JOUR	Forensic Science International: Synergy	No encontrado	No encontrado	No encontrado	0
Garavaglia, Christian	2010	JOUR	Structural Change and Economic Dynamics	No encontrado	No encontrado	No encontrado	0
Veksler, Vladislav D.	2016	JOUR	Biologically Inspired Cognitive Architectures	No encontrado	No encontrado	No encontrado	0
Yuan, Yuchen	2023	JOUR	Knowledge-Based Systems	No encontrado	No encontrado	No encontrado	0
Suchow, Jordan W.	2017	JOUR	Trends in Cognitive Sciences	No encontrado	No encontrado	No encontrado	0
Gierisch, Jennifer M.	2009	JOUR	Cancer Epidemiology	No encontrado	No encontrado	No encontrado	0
Pintarič, Zorka Novak	2016	CHAP	No encontrado	No encontrado	Elsevier	No encontrado	0
Liu, Kai	2020	JOUR	Sustainable Cities and Society	No encontrado	No encontrado	No encontrado	0
Sharma, Akanksha	2024	JOUR	Electric Power Systems Research	No encontrado	No encontrado	No encontrado	0
Ozin, Geoffrey	2024	JOUR	Matter	No encontrado	No encontrado	No encontrado	0
Chan, C.C.	2024	CHAP	No encontrado	No encontrado	Elsevier	No encontrado	0
Guo, Doudou	2024	JOUR	Information Fusion	No encontrado	No encontrado	No encontrado	0
Wang, Xiao	2016	JOUR	CAAI Transactions on Intelligence Technology	No encontrado	No encontrado	No encontrado	0
Stojanović, Jelena	2021	JOUR	Computers & Electrical Engineering	No encontrado	No encontrado	No encontrado	0
Havens, Scott	2020	JOUR	Computers & Geosciences	No encontrado	No encontrado	No encontrado	0
Lili, Zhang	2017	JOUR	Procedia Computer Science	No encontrado	No encontrado	No encontrado	0
Hendiani, Sepehr	2021	JOUR	Computers & Industrial Engineering	No encontrado	No encontrado	No encontrado	0
Yang, Ruihan	2022	JOUR	NeuroImage	No encontrado	No encontrado	No encontrado	0
Arifovic, Jasmina	2007	JOUR	Journal of Economic Dynamics and Control	No encontrado	No encontrado	No encontrado	0
Li, Yankun	2024	JOUR	Microchemical Journal	No encontrado	No encontrado	No encontrado	0
Shen, Mingkan	2023	JOUR	Computers in Biology and Medicine	No encontrado	No encontrado	No encontrado	0
Makshakova, Olga	2022	JOUR	Carbohydrate Polymers	No encontrado	No encontrado	No encontrado	0
Company, R.	2016	JOUR	Applied Mathematics Letters	No encontrado	No encontrado	No encontrado	0
Markota, Matej	2024	JOUR	Schizophrenia Research	No encontrado	No encontrado	No encontrado	0
Plebe, Alessio	2016	JOUR	Cognitive Systems Research	No encontrado	No encontrado	No encontrado	0
Aggarwal, Deepak	2022	CHAP	No encontrado	No encontrado	Academic Press	No encontrado	0
Arun, Adith S.	2024	JOUR	iScience	No encontrado	No encontrado	No encontrado	0
Velichkovsky, Boris	2020	JOUR	Procedia Computer Science	No encontrado	No encontrado	No encontrado	0
Fang, Ming	2024	JOUR	Entertainment Computing	No encontrado	No encontrado	No encontrado	0
Consonni, Viviana	2023	CHAP	No encontrado	No encontrado	Academic Press	No encontrado	0
Mistry, Yash	2021	CHAP	No encontrado	No encontrado	Elsevier	No encontrado	0
Tsao, J.Y.	2024	JOUR	Journal of Creativity	No encontrado	No encontrado	No encontrado	0
Woodward, George	2006	JOUR	International Journal of Educational Development	No encontrado	No encontrado	No encontrado	0
Danilov, S.	2019	JOUR	Journal of Computational Physics	No encontrado	No encontrado	No encontrado	0
Kohanová, Dominika	2024	JOUR	Nurse Education in Practice	No encontrado	No encontrado	No encontrado	0
Campbell, Oladele O.	2022	JOUR	Data in Brief	No encontrado	No encontrado	No encontrado	0
Lin, Jinzhi	2020	JOUR	Neurocomputing	No encontrado	No encontrado	No encontrado	0
Dannenhauer, Dustin	2014	JOUR	Procedia Computer Science	No encontrado	No encontrado	No encontrado	0
Cooper, S. Barry	2009	JOUR	Applied Mathematics and Computation	No encontrado	No encontrado	No encontrado	0
Kuipers, Benjamin	2008	JOUR	Artificial Intelligence in Medicine	No encontrado	No encontrado	No encontrado	0
Cohen, Hart	2024	CHAP	No encontrado	No encontrado	Academic Press	No encontrado	0
Akimov, Alexey V.	2024	CHAP	No encontrado	No encontrado	Elsevier	No encontrado	0
Latha, R.	2019	JOUR	Physica A: Statistical Mechanics and its Applications	No encontrado	No encontrado	No encontrado	0
Luo, Junfang	2020	JOUR	International Journal of Approximate Reasoning	No encontrado	No encontrado	No encontrado	0
Piccinini, Gualtiero	2008	JOUR	Neural Networks	No encontrado	No encontrado	No encontrado	0
Celko, Joe	2008	CHAP	No encontrado	No encontrado	Morgan Kaufmann	No encontrado	0
Gati, Nicholaus J.	2021	JOUR	Information Fusion	No encontrado	No encontrado	No encontrado	0
Stock, Eduardo V.	2024	JOUR	Physica A: Statistical Mechanics and its Applications	No encontrado	No encontrado	No encontrado	0
Daly, B.	2017	CHAP	No encontrado	No encontrado	Elsevier	No encontrado	0
Levine, Sydney	2024	JOUR	Cognition	No encontrado	No encontrado	No encontrado	0
Vodovotz, Yoram	2017	JOUR	Trends in Immunology	No encontrado	No encontrado	No encontrado	0
Baldwin, Philip R.	2023	JOUR	Journal of Structural Biology: X	No encontrado	No encontrado	No encontrado	0
MacLennan, Bruce	2015	CHAP	No encontrado	No encontrado	Elsevier	No encontrado	0
Xu, Yajun	2024	JOUR	Entertainment Computing	No encontrado	No encontrado	No encontrado	0
Muldner, Kasia	2015	JOUR	Computers in Human Behavior	No encontrado	No encontrado	No encontrado	0
Khosravi, Mohammadreza	2024	JOUR	Process Safety and Environmental Protection	No encontrado	No encontrado	No encontrado	0
Balasundaram, Balabhaskar	2022	JOUR	European Journal of Operational Research	No encontrado	No encontrado	No encontrado	0
Liao, Qin-Zhuo	2022	JOUR	Petroleum Science	No encontrado	No encontrado	No encontrado	0
Sessions, Deanna	2022	JOUR	Additive Manufacturing	No encontrado	No encontrado	No encontrado	0
Sheridan, Thomas B.	2010	CHAP	No encontrado	No encontrado	Academic Press	No encontrado	0
Zimmermann, Julius	2023	JOUR	Bioelectrochemistry	No encontrado	No encontrado	No encontrado	0
Billi, Marco	2024	JOUR	Environmental Science & Policy	No encontrado	No encontrado	No encontrado	0
Madiajagan, M.	2019	CHAP	No encontrado	No encontrado	Academic Press	No encontrado	0
Vakser, Ilya A.	2014	JOUR	Biophysical Journal	No encontrado	No encontrado	No encontrado	0
Baucells, Manel	2013	JOUR	EURO Journal on Decision Processes	No encontrado	No encontrado	No encontrado	0
Dorr, Adam	2017	JOUR	Technological Forecasting and Social Change	No encontrado	No encontrado	No encontrado	0
Carvajal-Rodríguez, Antonio	2015	JOUR	Magister	No encontrado	No encontrado	No encontrado	0
Lin, Jian-Hao	2024	JOUR	Ecological Modelling	No encontrado	No encontrado	No encontrado	0
Karuna, Christo	2019	JOUR	Pacific-Basin Finance Journal	No encontrado	No encontrado	No encontrado	0
Ramirez-Pedraza, Raymundo	2020	JOUR	Cognitive Systems Research	No encontrado	No encontrado	No encontrado	0
Kokinov, Boicho	2006	CHAP	No encontrado	No encontrado	Elsevier	No encontrado	0
Rupnow, Theodore J.	2022	JOUR	The Journal of Mathematical Behavior	No encontrado	No encontrado	No encontrado	0
Pelorosso, Raffaele	2020	JOUR	Sustainable Cities and Society	No encontrado	No encontrado	No encontrado	0
Diaf, Sami	2022	JOUR	European Journal of Political Economy	No encontrado	No encontrado	No encontrado	0
Aydin, Nezir	2013	JOUR	International Journal of Production Economics	No encontrado	No encontrado	No encontrado	0
Li, XiaoKe	2024	JOUR	Heliyon	No encontrado	No encontrado	No encontrado	0
Moosavi, Syed Kumayl Raza	2024	CHAP	No encontrado	No encontrado	Academic Press	No encontrado	0
Luzzati, Tommaso	2022	JOUR	Ecological Economics	No encontrado	No encontrado	No encontrado	0
Vijay Sanker, Swatthi	2022	CHAP	No encontrado	No encontrado	Academic Press	No encontrado	0
Sutoyo, Rhio	2015	JOUR	Procedia Computer Science	No encontrado	No encontrado	No encontrado	0
Ju, Weijia	2024	JOUR	Expert Systems with Applications	No encontrado	No encontrado	No encontrado	0
Tang, Yijing	2022	JOUR	Biophysical Chemistry	No encontrado	No encontrado	No encontrado	0
Wu, Xiu-Yi	2024	JOUR	Heliyon	No encontrado	No encontrado	No encontrado	0
Guo, Zheng	2024	JOUR	Procedia Computer Science	No encontrado	No encontrado	No encontrado	0
Bruder, Johannes	2017	CHAP	No encontrado	No encontrado	Elsevier	No encontrado	0
Martin, Ryan	2018	JOUR	Journal of Statistical Planning and Inference	No encontrado	No encontrado	No encontrado	0
Kauffman, Robert J.	2017	JOUR	Electronic Commerce Research and Applications	No encontrado	No encontrado	No encontrado	0
Benzekry, Sébastien	2015	JOUR	Seminars in Cancer Biology	No encontrado	No encontrado	No encontrado	0
Yetisen, Ali K.	2015	JOUR	Trends in Biotechnology	No encontrado	No encontrado	No encontrado	0
Ellis, David	2023	CHAP	No encontrado	No encontrado	Elsevier	No encontrado	0
Fattahi, Mohammad	2020	JOUR	International Journal of Production Economics	No encontrado	No encontrado	No encontrado	0
Osei-Bryson, Kweku-Muata	2012	JOUR	Expert Systems with Applications	No encontrado	No encontrado	No encontrado	0
Liu, Tingting	2024	JOUR	Cognitive Systems Research	No encontrado	No encontrado	No encontrado	0
Żak, Jacek	2019	JOUR	Transportation Research Procedia	No encontrado	No encontrado	No encontrado	0
Guile, David	2023	JOUR	Learning, Culture and Social Interaction	No encontrado	No encontrado	No encontrado	0
Guerrero, Omar A.	2022	JOUR	Socio-Economic Planning Sciences	No encontrado	No encontrado	No encontrado	0
Jia, Qianlei	2021	JOUR	Information Sciences	No encontrado	No encontrado	No encontrado	0
Detalle, L.	2017	CHAP	No encontrado	No encontrado	Elsevier	No encontrado	0
de Bruijn, Hans	2022	JOUR	Government Information Quarterly	No encontrado	No encontrado	No encontrado	0
Chen, Guo	2023	JOUR	Heliyon	No encontrado	No encontrado	No encontrado	0
Ikenmeyer, Christian	2022	JOUR	Information Processing Letters	No encontrado	No encontrado	No encontrado	0
McMurran, Meaghan	2023	JOUR	Learning and Individual Differences	No encontrado	No encontrado	No encontrado	0
Yurkovich, James T.	2017	JOUR	Cell Systems	No encontrado	No encontrado	No encontrado	0
Zhi, Huilai	2024	JOUR	Information Sciences	No encontrado	No encontrado	No encontrado	0
Yu, Xiaoqing	2023	JOUR	Advanced Engineering Informatics	No encontrado	No encontrado	No encontrado	0
Snowden, Julie S.	2015	CHAP	No encontrado	No encontrado	Elsevier	No encontrado	0
Clements-Croome, Derek	2024	CHAP	No encontrado	No encontrado	Elsevier	No encontrado	0
Tamstorf, Rasmus	2013	JOUR	Graphical Models	No encontrado	No encontrado	No encontrado	0
Meng, Fanlin	2016	JOUR	Water Research	No encontrado	No encontrado	No encontrado	0
Moini, Jahangir	2023	CHAP	No encontrado	No encontrado	Academic Press	No encontrado	0
Burgess, Mark	2011	JOUR	The Journal of Logic and Algebraic Programming	No encontrado	No encontrado	No encontrado	0
Laca, Adriana	2019	CHAP	No encontrado	No encontrado	Pergamon	No encontrado	0
Xu, Ming-Yang	2023	JOUR	Soil Dynamics and Earthquake Engineering	No encontrado	No encontrado	No encontrado	0
Keestra, Machiel	2009	JOUR	Language Sciences	No encontrado	No encontrado	No encontrado	0
Kroger, James K.	2008	JOUR	Brain Research	No encontrado	No encontrado	No encontrado	0
Vidal Pino, Omar	2021	JOUR	Image and Vision Computing	No encontrado	No encontrado	No encontrado	0
Mostofi, Naghmeh	2020	JOUR	Current Biology	No encontrado	No encontrado	No encontrado	0
Danish, Joshua A.	2023	CHAP	No encontrado	No encontrado	Elsevier	No encontrado	0
Schäfer, C.	2020	JOUR	Astronomy and Computing	No encontrado	No encontrado	No encontrado	0
Hall, Steven	2015	JOUR	Procedia Manufacturing	No encontrado	No encontrado	No encontrado	0
Hendiani, Sepehr	2021	JOUR	Computers & Industrial Engineering	No encontrado	No encontrado	No encontrado	0
